"","genes","A","phase","offset","peak","R2","pvalue","qvalue"
"ENSG00000099624","ENSG00000099624",0.0699974304027751,19.9874855122742,3.85052805119408,10.0125144877258,0.0282670083192449,0.453905678126142,0.618685573601749
"ENSG00000099625","ENSG00000099625",0.180288542818024,18.9154851043857,3.61007289698928,11.0845148956143,0.0839412002031555,0.086651763235767,0.284278970756615
"ENSG00000099783","ENSG00000099783",0.0627346759887416,17.987730638528,5.9352724306802,12.012269361472,0.149246451690275,0.0105209264507183,0.143292454152183
"ENSG00000099785","ENSG00000099785",0.0910659125087708,17.0550459475726,5.00686254819929,12.9449540524274,0.0901183061028219,0.0714395969033293,0.265324340188672
"ENSG00000099795","ENSG00000099795",0.184203304699005,14.5483763713281,4.59872818187414,15.4516236286719,0.113610022068334,0.0339100763607113,0.200637407351188
"ENSG00000099797","ENSG00000099797",0.0550987036802057,18.4628828971482,5.02830033798769,11.5371171028518,0.0308832109833997,0.421161147209947,0.593159509030296
"ENSG00000099800","ENSG00000099800",0.121375856488242,16.713884002921,3.58424080958145,13.286115997079,0.091249663193065,0.068950429930418,0.261332897387319
"ENSG00000099804","ENSG00000099804",0.15443075308006,16.1725419936984,3.93308208539787,13.8274580063016,0.148954384527639,0.01062141767547,0.143795448475917
"ENSG00000099810","ENSG00000099810",0.095691126295129,3.33730569473093,5.05937985950688,2.66269430526907,0.151984477345839,0.00959372387468926,0.140640095625575
"ENSG00000099814","ENSG00000099814",0.162747476582055,20.8042801208723,5.97723868155199,9.1957198791277,0.0540895661432346,0.214206476988207,0.418100132413654
"ENSG00000099817","ENSG00000099817",0.0804978768438555,15.555518507025,5.23809571593416,14.444481492975,0.0438959216767694,0.289243068612791,0.484142554529824
"ENSG00000099821","ENSG00000099821",0.134471088168215,16.715755157301,4.39265001028441,13.284244842699,0.0955464105023411,0.0602476109091361,0.246916707270931
"ENSG00000099822","ENSG00000099822",0.184592299856299,21.5838707767728,6.07882439404632,8.4161292232272,0.0563093415107626,0.200504468604994,0.405196509791431
"ENSG00000099840","ENSG00000099840",0.118434706380601,16.803865405779,2.23981412785439,13.196134594221,0.046425554841927,0.268581860264594,0.467238001415656
"ENSG00000099860","ENSG00000099860",0.189874425996769,10.1865234851717,3.69813205348004,-4.18652348517175,0.0647759372822234,0.155582832166836,0.364107885268613
"ENSG00000099864","ENSG00000099864",0.119532255162401,20.4322856025807,6.70504172215481,9.56771439741926,0.0593991615162712,0.182837606512894,0.389361523369735
"ENSG00000099875","ENSG00000099875",0.134316804062118,19.3824497596161,4.35003076189095,10.6175502403839,0.0696134909786655,0.134386689037311,0.341854715650965
"ENSG00000099889","ENSG00000099889",0.172531508527921,15.2689228942474,3.52903920394114,14.7310771057526,0.0720431139536795,0.124812193324925,0.330813591694649
"ENSG00000099899","ENSG00000099899",0.169835692082869,16.7191973363719,3.92379368092384,13.2808026636281,0.11899050706715,0.0284860077094636,0.187574236786835
"ENSG00000099901","ENSG00000099901",0.0585207614599354,11.0282139063508,4.87997952150588,-5.02821390635083,0.018847473269082,0.592728759173809,0.725590068757644
"ENSG00000099904","ENSG00000099904",0.127851859850017,20.5756474664605,4.05519422611277,9.42435253353952,0.0383098213346031,0.340115937516376,0.529026247795638
"ENSG00000099910","ENSG00000099910",0.0783667211899151,16.3703059579526,4.68214685878636,13.6296940420474,0.0492865093295587,0.246958313941892,0.44677652152995
"ENSG00000099917","ENSG00000099917",0.167214174563979,21.7625960260778,4.69798602183534,8.23740397392219,0.0521960536544549,0.226607479349983,0.429378067133169
"ENSG00000099940","ENSG00000099940",0.0614527784033195,4.54299412186132,4.53012289318124,1.45700587813868,0.049878730548179,0.24266150045686,0.442730525993109
"ENSG00000099942","ENSG00000099942",0.0476610132439364,15.3891795676311,6.70500636067436,14.6108204323689,0.0827378260952882,0.0899356942505669,0.288084892109594
"ENSG00000099949","ENSG00000099949",0.135107710188923,15.6824618945668,3.436884177662,14.3175381054332,0.0686114875851808,0.138510083759735,0.346010657669851
"ENSG00000099954","ENSG00000099954",0.191219290824009,22.4804752726212,4.85023236197537,7.51952472737883,0.106565988996102,0.0425267505581315,0.218381652430732
"ENSG00000099957","ENSG00000099957",0.202710736591745,15.1633061766611,1.1207375145288,14.8366938233389,0.109933826865257,0.0381615924133044,0.209966514831182
"ENSG00000099960","ENSG00000099960",0.164415928990002,11.1034719322949,1.44180309811281,-5.10347193229487,0.0701103924417492,0.132368495808427,0.339175642956941
"ENSG00000099968","ENSG00000099968",0.0112109031426593,15.0623785290805,6.58640361015638,14.9376214709195,0.00282360990716679,0.925355111612674,0.951156033196626
"ENSG00000099991","ENSG00000099991",0.0827725011889816,21.8599955844986,6.21837087040902,8.14000441550144,0.0273220517544591,0.466268423418879,0.626565117184254
