"","genes","A","phase","offset","peak","R2","pvalue","qvalue"
"ENSG00000115526","ENSG00000115526",0.0650633552181021,4.24125766436888,5.3786404102948,1.75874233563112,0.0715218050083255,0.145273676095594,0.429257917126201
"ENSG00000115539","ENSG00000115539",0.205813936807989,14.9708200302641,2.81135066989202,15.0291799697359,0.250541941250632,0.0018768902330546,0.0964780252859711
"ENSG00000115540","ENSG00000115540",0.10773332987253,13.9707606305621,5.41972920238084,16.0292393694379,0.126716357643156,0.0298137935124236,0.234274681306411
"ENSG00000115541","ENSG00000115541",0.0855018684857265,14.4812628390702,4.4518834636145,15.5187371609298,0.0408890035538521,0.335228013995137,0.592029615356421
"ENSG00000115548","ENSG00000115548",0.0848279854921894,21.4199469629575,6.74985315079807,8.58005303704252,0.0868475479492367,0.0949267627349819,0.36857432261332
"ENSG00000115556","ENSG00000115556",0.0948315700027151,7.25030641636571,2.20679150632877,-1.25030641636571,0.028367622489273,0.469427148194271,0.682697863752792
"ENSG00000115561","ENSG00000115561",0.0424618739945232,14.4964233417044,6.93218977438497,15.5035766582956,0.00753485863860315,0.815640751942122,0.893956726050813
"ENSG00000115568","ENSG00000115568",0.115011564787832,0.594260342186563,4.17623268439023,5.40573965781344,0.0299371123871656,0.450332088003321,0.669471577685309
"ENSG00000115594","ENSG00000115594",0.14251085174414,22.5648833660631,2.21366610941653,7.43511663393687,0.0148352541815693,0.671455257071695,0.808143850183417
"ENSG00000115598","ENSG00000115598",0.162077553856055,5.35093010524888,1.20330517666449,0.649069894751118,0.0496223229948786,0.264605942003202,0.544290294659076
"ENSG00000115616","ENSG00000115616",0.173399364800263,10.3444248037417,3.23178513124525,-4.34442480374171,0.0771237714402728,0.124488525173457,0.406997033676496
"ENSG00000115641","ENSG00000115641",0.174505041187913,1.75368934009964,1.89651325902042,4.24631065990036,0.0527662339589889,0.242729644784439,0.524756092870604
"ENSG00000115649","ENSG00000115649",0.085352955534845,7.89853383351625,4.67416598546767,-1.89853383351625,0.0919214175883003,0.0819100990333868,0.350553271407543
"ENSG00000115652","ENSG00000115652",0.0482598637461187,10.876871583164,5.04389391292334,-4.87687158316395,0.0572647673854058,0.215190061080472,0.49937384746649
"ENSG00000115657","ENSG00000115657",0.114912187921966,5.24768204364123,2.54431679731199,0.752317956358766,0.055464854652621,0.226042222617565,0.51135357708093
"ENSG00000115661","ENSG00000115661",0.141070288745146,6.70022167096791,3.96611447177158,-0.70022167096791,0.206626729126419,0.00405325268338963,0.112935159214651
"ENSG00000115665","ENSG00000115665",0.296071904352984,11.6301298505219,4.97576493587826,-5.63012985052192,0.0714749267693804,0.145499021526419,0.429355149181906
"ENSG00000115677","ENSG00000115677",0.0330394198758171,5.81735091915582,8.27905830741951,0.182649080844179,0.0601051252393338,0.198603451343177,0.482896007147077
"ENSG00000115685","ENSG00000115685",0.0508133731908937,0.118011136031829,6.62301679966967,5.88198886396817,0.00714129505921091,0.824802822748028,0.899791697664038
"ENSG00000115687","ENSG00000115687",0.295610051099548,23.5063742115189,5.17266314934999,6.49362578848105,0.0730737487830672,0.139100397319575,0.423601329143641
"ENSG00000115694","ENSG00000115694",0.109272597920009,5.08071477130073,6.7598010211262,0.919285228699268,0.283386447347577,0.00130166637015949,0.0940951571792673
"ENSG00000115738","ENSG00000115738",0.185991847560029,11.0892773143335,5.12559641198913,-5.08927731433349,0.0820467138100595,0.108459348870308,0.388295613774362
"ENSG00000115750","ENSG00000115750",0.0509896926065269,14.9245541442665,4.9357797956239,15.0754458557335,0.0377515428054647,0.365685228013995,0.61374584469614
"ENSG00000115756","ENSG00000115756",0.271533889794288,10.5887871616419,4.29335251121311,-4.58878716164194,0.0649995191305354,0.173910336239103,0.45855614973262
"ENSG00000115758","ENSG00000115758",0.109720060796173,7.44989108322124,5.1522026605124,-1.44989108322124,0.104218020132236,0.0575846527901323,0.308777974459476
"ENSG00000115760","ENSG00000115760",0.0502930335597209,14.6079871737892,9.10968738781603,15.3920128262108,0.18435913530924,0.00637193856371943,0.130311100351048
"ENSG00000115761","ENSG00000115761",0.0197909074847381,17.0878573757985,5.17924308945136,12.9121426242015,0.0308099693318167,0.43969341161122,0.661739114914731
"ENSG00000115762","ENSG00000115762",0.0571996113533752,11.3514969652305,8.45780660174511,-5.35149696523052,0.01947503060531,0.593823756152523,0.763445000152481
"ENSG00000115806","ENSG00000115806",0.107801252728173,16.5461722636198,4.86646976950901,13.4538277363802,0.226195415806934,0.00285536381426788,0.103393085787452
