"","genes","A","phase","offset","peak","R2","pvalue","qvalue","peak_CI_left","peak_CI_right"
"ENSG00000120549","ENSG00000120549",0.124752929565653,17.6814997259216,4.38835189912579,12.3185002740784,0.0383581180364374,0.359351835379233,0.60992732909252,5.67312839331911,14.4515131598094
"ENSG00000120594","ENSG00000120594",0.149266387557092,12.8136977847412,7.39342160291238,17.1863022152588,0.144388598987843,0.0181551325386942,0.190350605026373,15.1291378213288,-5.31903642903597
"ENSG00000120616","ENSG00000120616",0.0723781649426887,15.2844458355106,6.19045937490027,14.7155541644894,0.135697704571424,0.0231127320168416,0.208743315508021,13.6213349574597,16.6232147206211
"ENSG00000120645","ENSG00000120645",0.0585044285621173,0.24024900254664,3.50991339819455,5.75975099745336,0.0020985011819894,0.943625096364822,0.966749688667497,-0.208630655528678,11.6267362830816
"ENSG00000120647","ENSG00000120647",0.0881463574133372,21.836305561723,3.71529456523191,8.16369443827697,0.0417320498632607,0.327821265492498,0.58710749593824,3.17043631374682,14.2775856659051
"ENSG00000120656","ENSG00000120656",0.0899497303716652,14.3801064609701,3.18647759898067,15.6198935390299,0.102457364511258,0.0605141433908557,0.313334151504924,12.627395680974,17.7897957229531
"ENSG00000120658","ENSG00000120658",0.0212820477463957,4.62973701097318,5.17897289104941,1.37026298902682,0.00964412743851994,0.771010496352962,0.868418591914294,15.7664143342206,7.977659350995
"ENSG00000120662","ENSG00000120662",0.0823721712420606,17.0526470746336,3.70731061913223,12.9473529253664,0.190011944037991,0.00568404198541184,0.12519592476489,12.2291069703768,14.45923484717
"ENSG00000120675","ENSG00000120675",0.082632694769371,8.14383100487296,6.47137301816329,-2.14383100487296,0.0501088844788149,0.261130878254166,0.541356386246897,17.7957822749013,-0.793578568478099
"ENSG00000120685","ENSG00000120685",0.0515195402735024,1.37776519130064,4.21670904376955,4.62223480869936,0.0174697989297751,0.626237917333808,0.783488137454189,1.12558695524688,10.5750064338748
"ENSG00000120686","ENSG00000120686",0.115793721100405,12.0712249082125,6.89494272878623,17.9287750917875,0.0875398059036127,0.0929816758583882,0.365652680652681,14.285821728546,-4.36167077488115
"ENSG00000120688","ENSG00000120688",0.0840082738800428,14.1466050580863,5.35976839718282,15.8533949419137,0.0697832229906473,0.152455079167408,0.436986557132188,13.3368692570663,-3.81219904983728
"ENSG00000120690","ENSG00000120690",0.11659407820668,15.9716714170912,3.97485506969188,14.0283285829088,0.123644901526354,0.0325713099685703,0.2440460321692,12.9729768165459,14.4365552209766
"ENSG00000120693","ENSG00000120693",0.180681601681382,9.90762051860218,4.69544985535625,-3.90762051860218,0.0708330395640808,0.148019332265908,0.43279276469671,17.3992937186277,-2.17853559441103
"ENSG00000120694","ENSG00000120694",0.021039983347362,21.7651095343897,9.01162168884611,8.23489046561028,0.00151028604254067,0.958877423945917,0.974967892093315,0.381896947815445,17.9155248558579
